;Ano;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
88;2020;3;1;12.00;8.00;19.00;91.00;19.00;41.00;126.00;5.50;21.00;67.00;6.00;7.00;71.00;9.50;11.00;23.00
89;2020;1;1;7.50;6.00;15.00;91.00;6.00;9.00;21.00;8.50;8.50;19.00;15.00;12.00;34.00;46.00;31.00;46.00
90;2020;2;1;10.00;6.50;15.00;81.00;12.00;26.00;81.00;6.00;14.00;46.00;7.50;7.50;46.00;13.00;13.00;23.00
91;2020;0;1;8.00;6.50;17.00;101.00;11.00;23.00;91.00;5.00;15.00;56.00;7.00;7.50;61.00;14.00;15.00;31.00
92;2020;1;0;7.50;6.50;17.00;101.00;11.00;23.00;91.00;5.00;15.00;51.00;7.50;8.00;56.00;14.00;15.00;34.00
93;2020;1;1;7.00;5.50;15.00;91.00;7.00;12.00;36.00;7.00;10.00;26.00;11.00;10.00;41.00;26.00;23.00;36.00
94;2020;5;0;6.50;6.00;17.00;101.00;8.50;18.00;61.00;5.50;13.00;41.00;8.50;8.50;56.00;19.00;19.00;36.00
95;2020;2;2;10.00;6.00;12.00;51.00;8.00;11.00;23.00;9.50;8.00;15.00;15.00;10.00;23.00;36.00;23.00;26.00
96;2020;3;0;7.00;5.50;15.00;91.00;8.00;15.00;46.00;6.00;11.00;31.00;9.50;8.50;46.00;23.00;21.00;34.00
97;2020;1;1;8.00;6.00;13.00;81.00;8.00;15.00;41.00;6.50;10.00;26.00;10.00;9.00;41.00;23.00;20.00;31.00
98;2020;1;0;10.00;8.00;21.00;126.00;15.00;41.00;151.00;5.00;21.00;81.00;6.00;7.00;81.00;9.50;12.00;26.00
99;2020;0;2;17.00;9.00;15.00;61.00;21.00;46.00;151.00;7.00;20.00;67.00;6.50;7.00;56.00;9.50;10.00;18.00
100;2020;0;1;10.00;8.00;20.00;126.00;15.00;46.00;176.00;5.00;21.00;81.00;6.00;7.00;91.00;9.50;12.00;26.00
101;2020;0;0;6.00;5.50;18.00;126.00;5.50;9.50;23.00;7.50;9.00;21.00;15.00;12.00;41.00;46.00;36.00;61.00
102;2020;0;0;6.50;5.50;17.00;101.00;5.50;10.00;23.00;7.50;9.00;21.00;15.00;11.00;36.00;46.00;34.00;51.00
103;2020;0;1;8.00;6.00;14.00;91.00;6.00;9.00;18.00;9.00;8.00;17.00;18.00;12.00;26.00;56.00;34.00;41.00
104;2020;0;0;7.00;6.00;15.00;101.00;8.50;18.00;56.00;5.50;12.00;41.00;8.50;8.50;51.00;19.00;19.00;36.00
105;2020;0;2;6.50;5.50;15.00;101.00;6.50;12.00;31.00;6.50;10.00;26.00;12.00;10.00;41.00;34.00;26.00;46.00
106;2020;1;2;14.00;8.50;15.00;71.00;18.00;41.00;101.00;6.50;19.00;56.00;7.00;6.50;51.00;10.00;10.00;20.00
107;2020;4;2;8.50;6.00;13.00;71.00;7.50;12.00;26.00;8.50;8.50;20.00;13.00;9.50;26.00;31.00;23.00;31.00
108;2020;1;2;8.00;6.00;15.00;81.00;9.00;17.00;46.00;6.50;11.00;31.00;9.50;8.00;41.00;20.00;18.00;26.00
109;2020;1;0;6.00;5.50;17.00;101.00;6.00;11.00;26.00;7.00;10.00;26.00;14.00;11.00;46.00;36.00;34.00;51.00
110;2020;0;2;8.00;5.50;14.00;81.00;8.00;13.00;34.00;7.00;9.50;23.00;11.00;9.00;36.00;26.00;21.00;31.00
111;2020;2;1;11.00;8.00;19.00;101.00;15.00;41.00;151.00;5.00;21.00;76.00;6.00;7.00;81.00;9.50;12.00;26.00
112;2020;2;1;7.00;6.00;15.00;101.00;9.00;20.00;61.00;5.50;13.00;41.00;8.50;8.50;51.00;18.00;18.00;36.00
113;2020;3;0;7.50;6.00;15.00;91.00;10.00;20.00;71.00;5.50;13.00;46.00;8.00;8.00;56.00;15.00;17.00;31.00
114;2020;1;0;8.50;6.00;15.00;81.00;10.00;21.00;61.00;5.50;13.00;41.00;8.50;7.50;51.00;15.00;15.00;26.00
115;2020;1;1;9.50;6.00;13.00;61.00;10.00;18.00;41.00;7.00;11.00;26.00;10.00;7.50;36.00;19.00;15.00;23.00
116;2020;1;2;6.50;5.50;15.00;126.00;6.50;12.00;36.00;6.50;10.00;26.00;12.00;10.00;41.00;31.00;26.00;41.00
117;2020;0;2;7.00;5.50;15.00;91.00;6.50;11.00;26.00;7.50;9.00;21.00;14.00;10.00;34.00;36.00;26.00;41.00
118;2020;1;2;7.50;6.00;15.00;101.00;5.50;8.00;15.00;10.00;8.00;17.00;21.00;14.00;31.00;61.00;41.00;56.00
119;2020;0;0;12.00;7.00;13.00;61.00;7.00;8.00;14.00;13.00;7.00;12.00;26.00;13.00;19.00;71.00;36.00;36.00
120;2020;1;0;8.00;5.50;13.00;71.00;8.00;13.00;31.00;7.00;9.50;23.00;12.00;9.00;34.00;26.00;21.00;31.00
121;2020;2;0;15.00;10.00;21.00;101.00;26.00;67.00;201.00;6.00;26.00;101.00;5.50;7.00;91.00;8.00;10.00;21.00
122;2020;2;1;10.00;8.00;21.00;126.00;17.00;46.00;176.00;5.00;23.00;91.00;5.50;7.50;101.00;9.00;12.00;31.00
123;2020;0;2;6.50;5.50;17.00;101.00;6.50;12.00;31.00;6.50;10.00;26.00;12.00;10.00;46.00;34.00;26.00;46.00
124;2020;4;3;18.00;10.00;19.00;81.00;23.00;61.00;201.00;7.00;23.00;91.00;6.00;7.00;76.00;8.00;9.50;20.00
125;2020;0;1;9.00;6.50;14.00;91.00;11.00;23.00;71.00;6.00;13.00;36.00;8.00;7.50;51.00;15.00;15.00;26.00
126;2020;1;0;7.00;5.50;14.00;91.00;7.00;13.00;34.00;7.00;10.00;26.00;11.00;9.00;36.00;26.00;23.00;36.00
127;2020;1;2;6.50;5.50;15.00;101.00;6.50;12.00;36.00;6.50;10.00;26.00;11.00;10.00;46.00;26.00;26.00;41.00
128;2020;2;0;5.00;5.50;20.00;176.00;6.00;12.00;36.00;5.50;11.00;36.00;12.00;11.00;61.00;36.00;36.00;61.00
129;2020;1;1;7.00;6.50;17.00;101.00;5.00;7.50;17.00;9.50;8.00;15.00;23.00;15.00;34.00;76.00;51.00;61.00
130;2020;2;1;6.50;5.50;15.00;101.00;7.00;13.00;36.00;6.00;11.00;26.00;11.00;10.00;46.00;26.00;26.00;41.00
131;2020;3;0;10.00;6.00;12.00;51.00;9.50;15.00;36.00;8.00;9.50;23.00;12.00;8.00;26.00;23.00;18.00;23.00
132;2020;1;1;6.00;5.50;18.00;126.00;6.00;11.00;26.00;7.00;10.00;26.00;13.00;10.00;46.00;41.00;31.00;51.00
133;2020;1;0;7.50;6.00;15.00;101.00;5.50;8.50;18.00;9.00;8.00;18.00;19.00;13.00;34.00;61.00;41.00;51.00
134;2020;1;0;6.50;5.50;15.00;126.00;7.50;14.00;41.00;6.00;11.00;31.00;10.00;9.50;51.00;26.00;23.00;41.00
135;2020;4;1;17.00;10.00;19.00;81.00;26.00;61.00;201.00;7.00;26.00;91.00;6.00;7.00;76.00;8.00;9.50;20.00
136;2020;1;2;7.50;6.00;15.00;91.00;9.50;21.00;61.00;5.50;13.00;36.00;8.50;8.00;56.00;17.00;17.00;34.00
137;2020;0;0;10.00;7.00;15.00;81.00;6.00;7.00;12.00;13.00;7.00;12.00;26.00;15.00;23.00;91.00;51.00;51.00
138;2020;2;1;8.00;7.00;20.00;151.00;13.00;34.00;151.00;5.00;19.00;81.00;6.00;7.50;81.00;11.00;14.00;31.00
139;2020;3;0;9.00;7.00;17.00;101.00;13.00;34.00;101.00;5.00;18.00;61.00;6.50;7.50;71.00;11.00;13.00;26.00
140;2020;0;1;12.00;6.50;11.00;46.00;8.00;9.50;17.00;12.00;7.50;13.00;21.00;11.00;18.00;46.00;26.00;26.00
141;2020;2;1;8.00;6.00;17.00;126.00;10.00;23.00;91.00;5.50;14.00;56.00;7.50;7.50;61.00;15.00;15.00;26.00
142;2020;4;0;10.00;8.00;18.00;101.00;15.00;41.00;126.00;5.50;21.00;81.00;6.00;7.00;81.00;9.50;12.00;26.00
143;2020;0;1;10.00;7.00;15.00;81.00;13.00;26.00;91.00;5.50;15.00;51.00;7.00;7.00;56.00;12.00;13.00;23.00
144;2020;2;2;8.50;6.50;15.00;91.00;11.00;26.00;91.00;5.50;15.00;51.00;7.50;7.50;56.00;13.00;14.00;26.00
145;2020;4;0;8.00;7.50;21.00;151.00;14.00;36.00;126.00;4.50;21.00;91.00;6.00;7.50;101.00;10.00;14.00;34.00
146;2020;1;0;11.00;9.50;23.00;126.00;20.00;61.00;201.00;5.00;26.00;101.00;5.50;7.50;101.00;8.00;11.00;26.00
147;2020;0;0;8.00;6.00;14.00;81.00;6.50;10.00;21.00;9.00;8.00;18.00;15.00;11.00;26.00;41.00;34.00;41.00
148;2020;0;2;8.00;5.50;13.00;71.00;8.00;13.00;31.00;7.50;10.00;23.00;12.00;9.00;31.00;26.00;21.00;31.00
149;2020;3;1;7.00;5.50;15.00;101.00;7.50;15.00;41.00;6.00;11.00;31.00;10.00;9.00;41.00;23.00;21.00;36.00
150;2020;0;1;14.00;8.00;14.00;67.00;6.50;7.00;10.00;19.00;7.00;10.00;36.00;17.00;19.00;101.00;56.00;51.00
151;2020;2;2;7.50;5.50;14.00;81.00;7.00;10.00;26.00;8.00;8.50;20.00;14.00;10.00;31.00;41.00;26.00;36.00
152;2020;0;3;14.00;9.00;19.00;91.00;6.00;6.00;9.00;20.00;7.00;10.00;51.00;21.00;21.00;151.00;91.00;76.00
153;2020;0;0;6.00;5.50;18.00;126.00;7.50;14.00;41.00;5.50;12.00;31.00;10.00;9.00;56.00;23.00;23.00;46.00
154;2020;0;0;8.50;6.00;14.00;71.00;6.50;10.00;21.00;9.00;8.00;18.00;15.00;11.00;26.00;41.00;26.00;36.00
155;2020;2;1;14.00;11.00;26.00;176.00;26.00;81.00;201.00;5.50;36.00;151.00;5.00;7.50;151.00;7.00;10.00;31.00
156;2020;1;4;6.50;5.50;15.00;101.00;6.50;11.00;26.00;7.00;9.50;23.00;13.00;10.00;41.00;36.00;26.00;41.00
157;2020;0;0;6.50;5.50;15.00;101.00;6.50;11.00;26.00;7.00;9.50;23.00;13.00;10.00;36.00;36.00;26.00;46.00
158;2020;1;3;8.50;6.00;14.00;67.00;6.50;9.50;21.00;9.00;8.00;17.00;17.00;11.00;26.00;46.00;26.00;36.00
159;2020;3;0;8.50;6.50;17.00;101.00;12.00;26.00;101.00;5.00;17.00;67.00;7.00;7.50;71.00;12.00;14.00;26.00
160;2020;4;2;10.00;7.00;15.00;81.00;13.00;26.00;91.00;6.00;15.00;51.00;7.50;7.00;51.00;12.00;13.00;23.00
161;2020;1;1;9.50;7.00;17.00;91.00;13.00;26.00;91.00;5.50;15.00;51.00;7.00;7.00;61.00;12.00;13.00;26.00
162;2020;2;1;12.00;7.50;13.00;51.00;15.00;26.00;81.00;7.00;14.00;41.00;8.00;7.00;41.00;12.00;11.00;18.00
