;Ano;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
0;2021;2;0;8.50;6.00;14.00;81.00;9.50;19.00;61.00;6.00;12.00;34.00;9.00;8.00;41.00;19.00;15.00;26.00
1;2021;2;0;11.00;7.00;13.00;51.00;13.00;26.00;76.00;7.00;14.00;41.00;8.00;7.00;36.00;13.00;12.00;19.00
2;2021;3;0;17.00;12.00;26.00;151.00;34.00;101.00;201.00;6.00;41.00;201.00;5.00;8.00;176.00;6.00;10.00;26.00
3;2021;2;1;9.00;6.00;13.00;61.00;8.50;14.00;34.00;7.50;9.50;23.00;11.00;8.50;34.00;23.00;19.00;26.00
4;2021;4;3;14.00;8.00;14.00;61.00;18.00;36.00;101.00;6.50;17.00;51.00;7.00;7.00;46.00;10.00;11.00;19.00
5;2021;1;0;6.50;5.50;17.00;126.00;8.00;17.00;51.00;5.50;12.00;36.00;9.50;9.00;51.00;21.00;23.00;41.00
6;2021;1;0;12.00;6.50;12.00;51.00;7.50;9.50;15.00;12.00;7.00;13.00;21.00;12.00;20.00;56.00;31.00;31.00
7;2021;1;0;11.00;6.50;12.00;51.00;12.00;21.00;61.00;7.00;12.00;34.00;9.00;7.00;31.00;15.00;13.00;21.00
8;2021;1;1;6.50;6.00;18.00;101.00;9.00;19.00;67.00;5.00;14.00;46.00;8.50;8.50;61.00;19.00;19.00;36.00
9;2021;1;1;8.50;7.00;17.00;126.00;12.00;26.00;101.00;5.00;15.00;61.00;7.00;7.50;61.00;12.00;14.00;26.00
10;2021;0;1;7.00;5.50;15.00;91.00;6.50;12.00;26.00;7.00;9.50;23.00;13.00;10.00;36.00;31.00;26.00;36.00
11;2021;1;0;6.00;6.00;18.00;126.00;8.00;18.00;56.00;5.00;13.00;41.00;9.00;9.00;67.00;21.00;21.00;41.00
12;2021;0;1;15.00;8.50;13.00;51.00;20.00;36.00;101.00;7.50;17.00;51.00;8.00;6.50;41.00;11.00;10.00;17.00
13;2021;1;2;10.00;7.50;17.00;91.00;15.00;34.00;126.00;5.50;18.00;61.00;6.50;7.00;67.00;10.00;12.00;23.00
14;2021;0;0;11.00;8.00;21.00;126.00;17.00;46.00;201.00;5.00;23.00;101.00;5.50;7.00;91.00;9.00;12.00;26.00
15;2021;3;1;7.50;7.00;20.00;151.00;13.00;36.00;151.00;4.50;21.00;91.00;6.50;7.50;91.00;11.00;15.00;34.00
16;2021;0;0;8.00;6.00;14.00;81.00;9.50;18.00;56.00;6.00;11.00;31.00;9.00;8.00;41.00;20.00;17.00;26.00
17;2021;4;3;9.50;6.00;13.00;61.00;10.00;19.00;56.00;6.50;12.00;31.00;9.00;7.50;36.00;17.00;15.00;26.00
18;2021;2;0;7.00;6.00;15.00;101.00;9.00;18.00;61.00;5.50;12.00;41.00;8.50;8.00;51.00;19.00;19.00;36.00
19;2021;1;1;9.00;6.00;12.00;56.00;8.50;15.00;36.00;7.50;10.00;23.00;11.00;8.50;34.00;23.00;18.00;26.00
20;2021;1;0;8.50;6.50;17.00;91.00;11.00;26.00;91.00;5.50;15.00;51.00;7.00;7.50;67.00;13.00;14.00;26.00
21;2021;0;1;8.50;6.00;15.00;81.00;6.50;9.00;19.00;9.00;8.00;17.00;18.00;12.00;26.00;51.00;34.00;36.00
22;2021;1;1;12.00;7.00;14.00;71.00;6.50;7.50;13.00;14.00;7.00;11.00;26.00;15.00;21.00;91.00;46.00;46.00
23;2021;1;0;6.50;6.50;23.00;151.00;11.00;31.00;126.00;4.50;19.00;81.00;6.50;8.00;101.00;13.00;18.00;46.00
24;2021;3;0;8.00;6.00;14.00;91.00;8.00;15.00;41.00;6.50;10.00;26.00;10.00;8.50;36.00;23.00;21.00;31.00
25;2021;2;3;7.50;6.00;15.00;91.00;5.50;8.50;18.00;9.00;8.00;18.00;19.00;13.00;31.00;61.00;41.00;51.00
26;2021;1;3;7.50;6.50;19.00;101.00;11.00;26.00;91.00;5.00;17.00;67.00;7.00;7.50;81.00;13.00;15.00;34.00
27;2021;3;0;13.00;11.00;31.00;201.00;26.00;91.00;201.00;5.00;41.00;201.00;5.00;8.00;151.00;6.50;11.00;36.00
28;2021;2;1;14.00;8.50;15.00;71.00;19.00;41.00;151.00;6.50;20.00;67.00;7.00;6.50;51.00;9.50;10.00;20.00
29;2021;1;0;6.50;5.50;17.00;101.00;7.50;14.00;41.00;6.00;11.00;34.00;10.00;9.00;51.00;23.00;23.00;41.00
30;2021;2;1;6.50;5.50;15.00;91.00;7.00;14.00;36.00;6.00;11.00;26.00;11.00;9.50;41.00;26.00;23.00;36.00
31;2021;1;1;10.00;7.50;19.00;101.00;14.00;36.00;126.00;5.50;19.00;71.00;6.50;7.00;71.00;10.00;12.00;26.00
32;2021;2;1;9.50;8.50;23.00;151.00;17.00;51.00;201.00;5.00;26.00;126.00;5.50;7.50;126.00;8.50;12.00;34.00
33;2021;1;0;6.50;6.00;18.00;101.00;9.00;21.00;76.00;5.00;14.00;51.00;8.00;8.00;67.00;18.00;18.00;36.00
34;2021;2;0;9.50;7.50;20.00;126.00;15.00;41.00;176.00;5.00;21.00;91.00;6.00;7.50;81.00;9.50;13.00;31.00
35;2021;1;1;8.50;6.00;14.00;81.00;10.00;21.00;56.00;6.00;12.00;36.00;9.00;7.50;41.00;17.00;15.00;26.00
36;2021;3;1;7.50;5.50;14.00;81.00;7.50;13.00;31.00;7.00;10.00;23.00;11.00;9.00;36.00;26.00;23.00;36.00
37;2021;2;1;7.00;6.00;15.00;91.00;8.00;15.00;41.00;6.00;11.00;31.00;10.00;9.00;41.00;23.00;21.00;36.00
38;2021;2;0;7.00;5.50;15.00;91.00;7.00;12.00;31.00;7.00;9.50;23.00;12.00;10.00;36.00;31.00;23.00;41.00
39;2021;1;0;7.00;5.50;15.00;91.00;8.00;15.00;41.00;6.50;11.00;31.00;10.00;8.50;46.00;23.00;21.00;36.00
40;2021;0;0;6.50;6.00;19.00;126.00;9.50;23.00;81.00;5.00;15.00;56.00;7.50;8.00;76.00;15.00;19.00;36.00
41;2021;2;2;9.50;6.50;14.00;81.00;6.00;7.50;14.00;12.00;7.00;13.00;23.00;14.00;23.00;76.00;41.00;46.00
42;2021;2;2;10.00;6.50;12.00;56.00;11.00;19.00;56.00;7.00;11.00;31.00;9.50;7.50;34.00;18.00;15.00;23.00
43;2021;1;1;6.50;6.00;17.00;101.00;8.00;18.00;61.00;5.50;12.00;41.00;8.50;9.00;56.00;21.00;20.00;36.00
44;2021;0;0;6.50;6.00;18.00;126.00;9.50;23.00;81.00;5.00;15.00;51.00;7.50;8.00;71.00;15.00;18.00;36.00
45;2021;2;0;7.50;6.00;15.00;91.00;8.50;17.00;46.00;6.00;11.00;34.00;9.50;8.50;41.00;20.00;19.00;31.00
46;2021;2;0;6.50;6.50;21.00;176.00;10.00;26.00;101.00;4.50;17.00;76.00;7.00;8.50;91.00;13.00;17.00;41.00
47;2021;1;2;8.50;6.00;14.00;81.00;6.00;8.50;17.00;10.00;8.00;15.00;19.00;12.00;26.00;56.00;36.00;41.00
48;2021;1;1;7.00;5.50;15.00;91.00;8.00;15.00;41.00;6.00;11.00;31.00;10.00;8.50;41.00;23.00;21.00;34.00
49;2021;2;0;12.00;9.00;23.00;126.00;21.00;61.00;201.00;5.00;26.00;126.00;5.50;7.50;101.00;8.00;11.00;26.00
50;2021;1;3;10.00;7.50;17.00;91.00;5.50;6.50;11.00;14.00;7.00;12.00;31.00;18.00;23.00;126.00;56.00;61.00
51;2021;1;0;8.00;6.00;13.00;71.00;7.50;13.00;26.00;7.50;9.50;23.00;12.00;9.00;31.00;31.00;23.00;31.00
52;2021;1;0;6.50;5.50;15.00;101.00;6.50;12.00;34.00;6.50;10.00;26.00;12.00;10.00;41.00;31.00;26.00;41.00
