;Ano;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
0;2019;0;0;9.50;6.00;13.00;67.00;6.50;9.00;18.00;10.00;7.50;15.00;19.00;12.00;23.00;51.00;34.00;41.00
1;2019;1;1;5.50;5.50;18.00;151.00;6.00;11.00;26.00;6.50;10.00;26.00;13.00;11.00;51.00;36.00;36.00;56.00
2;2019;1;2;8.00;6.00;15.00;81.00;9.00;18.00;46.00;6.00;11.00;31.00;9.50;8.00;46.00;20.00;17.00;31.00
3;2019;0;2;8.00;5.50;13.00;76.00;8.00;13.00;31.00;7.50;9.50;23.00;12.00;9.50;31.00;26.00;21.00;26.00
4;2019;1;2;7.50;5.50;15.00;91.00;6.50;9.50;21.00;8.50;8.50;19.00;15.00;11.00;31.00;41.00;26.00;41.00
5;2019;2;1;10.00;6.00;13.00;71.00;10.00;18.00;46.00;6.50;11.00;26.00;9.50;7.50;34.00;19.00;15.00;23.00
6;2019;3;2;10.00;6.00;12.00;56.00;11.00;18.00;46.00;7.00;11.00;26.00;9.50;7.50;34.00;18.00;15.00;23.00
7;2019;2;1;12.00;7.50;14.00;71.00;15.00;34.00;91.00;6.50;15.00;51.00;7.50;7.00;51.00;11.00;11.00;21.00
8;2019;4;0;11.00;6.00;11.00;46.00;9.00;13.00;26.00;9.50;8.50;18.00;14.00;9.00;23.00;26.00;20.00;23.00
9;2019;1;1;11.00;8.00;19.00;91.00;17.00;46.00;176.00;5.50;21.00;76.00;6.00;7.00;76.00;9.50;11.00;23.00
10;2019;6;1;34.00;17.00;26.00;126.00;61.00;176.00;201.00;9.00;56.00;201.00;6.00;8.50;126.00;6.50;9.00;23.00
