;Ano;FT_Odds_H;FT_Odds_A;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
309;2022;1.20;4.00;2;2;8.00;6.50;18.00;101.00;12.00;26.00;101.00;5.00;15.00;61.00;7.00;7.50;67.00;12.00;15.00;31.00
310;2022;1.91;1.80;1;1;6.50;5.50;15.00;101.00;6.50;11.00;31.00;7.00;10.00;26.00;12.00;10.00;41.00;34.00;26.00;41.00
311;2022;1.13;5.20;2;1;8.00;7.00;20.00;151.00;13.00;34.00;151.00;5.00;19.00;71.00;6.00;7.50;81.00;11.00;14.00;31.00
312;2022;1.60;2.20;1;1;6.00;5.50;17.00;126.00;6.50;13.00;36.00;6.00;11.00;34.00;11.00;10.00;56.00;31.00;26.00;46.00
313;2022;1.33;3.00;0;1;7.50;6.00;15.00;101.00;9.50;21.00;61.00;5.50;13.00;41.00;8.50;8.00;51.00;17.00;17.00;31.00
314;2022;1.80;1.91;1;1;7.50;5.50;15.00;91.00;7.50;13.00;31.00;7.00;10.00;23.00;12.00;9.50;36.00;26.00;23.00;36.00
315;2022;1.91;1.80;1;1;6.00;5.50;19.00;101.00;6.00;11.00;31.00;6.50;10.00;26.00;13.00;10.00;46.00;36.00;31.00;56.00
316;2022;3.30;1.29;0;3;8.00;6.50;15.00;91.00;5.50;8.00;15.00;10.00;7.50;15.00;23.00;14.00;26.00;71.00;46.00;51.00
317;2022;1.57;2.25;0;0;7.00;5.50;15.00;91.00;8.00;14.00;41.00;6.50;10.00;26.00;10.00;9.00;41.00;23.00;21.00;34.00
318;2022;1.44;2.60;2;0;8.50;6.00;14.00;76.00;9.50;18.00;46.00;6.50;11.00;31.00;9.50;8.00;36.00;19.00;18.00;26.00
319;2022;1.01;13.00;1;0;23.00;15.00;26.00;151.00;46.00;126.00;201.00;7.50;51.00;201.00;5.50;8.50;176.00;6.00;9.50;26.00
320;2022;1.65;2.10;1;0;7.50;5.50;15.00;91.00;6.50;11.00;26.00;8.00;9.00;20.00;14.00;10.00;34.00;36.00;26.00;41.00
321;2022;2.40;1.57;1;2;6.50;5.50;17.00;101.00;7.00;15.00;46.00;6.00;11.00;36.00;10.00;9.50;56.00;23.00;23.00;41.00
322;2022;2.25;1.62;3;1;7.50;5.50;15.00;91.00;8.00;15.00;41.00;6.50;11.00;26.00;10.00;8.50;41.00;23.00;21.00;36.00
323;2022;2.55;1.52;1;0;7.00;5.50;15.00;91.00;8.00;15.00;46.00;6.00;12.00;34.00;9.50;8.50;41.00;21.00;21.00;36.00
324;2022;6.50;1.15;2;1;9.00;7.50;20.00;151.00;14.00;36.00;151.00;5.00;21.00;81.00;6.00;7.50;91.00;10.00;13.00;31.00
325;2022;3.00;1.44;2;1;6.00;6.00;20.00;126.00;8.50;21.00;71.00;5.00;14.00;51.00;8.00;8.50;76.00;18.00;20.00;41.00
326;2022;9.00;1.06;2;0;19.00;12.00;23.00;126.00;36.00;91.00;201.00;6.50;36.00;126.00;5.50;8.00;126.00;6.50;9.50;23.00
327;2022;2.40;1.57;2;2;7.50;6.00;15.00;81.00;8.50;15.00;41.00;6.00;11.00;31.00;9.50;8.50;41.00;21.00;19.00;31.00
328;2022;1.36;2.65;2;2;9.50;6.00;13.00;67.00;6.50;8.50;17.00;10.00;7.50;15.00;20.00;12.00;23.00;56.00;36.00;36.00
329;2022;7.50;1.08;2;0;15.00;9.50;18.00;81.00;23.00;56.00;176.00;6.50;23.00;91.00;6.00;7.00;71.00;8.50;10.00;21.00
330;2022;1.50;2.35;1;1;7.50;5.50;15.00;91.00;6.00;9.50;21.00;8.00;8.50;21.00;15.00;11.00;31.00;46.00;31.00;41.00
331;2022;2.25;1.62;2;1;7.00;5.50;15.00;91.00;8.00;15.00;46.00;6.00;11.00;31.00;10.00;9.00;41.00;21.00;21.00;34.00
332;2022;2.20;1.65;1;1;7.00;5.50;15.00;91.00;7.50;15.00;41.00;6.00;11.00;26.00;10.00;9.00;41.00;26.00;21.00;36.00
333;2022;1.85;1.87;1;1;6.00;5.50;17.00;126.00;6.50;12.00;31.00;6.50;10.00;26.00;12.00;10.00;41.00;34.00;26.00;46.00
334;2022;2.00;1.78;0;1;8.00;5.50;14.00;76.00;8.00;13.00;34.00;7.00;9.50;23.00;11.00;9.00;36.00;26.00;21.00;31.00
335;2022;3.60;1.25;4;1;6.50;6.00;18.00;126.00;10.00;23.00;91.00;5.00;15.00;61.00;7.50;8.00;71.00;15.00;18.00;36.00
336;2022;3.60;1.28;0;1;8.00;6.50;17.00;101.00;11.00;26.00;101.00;5.00;15.00;51.00;7.00;8.00;67.00;13.00;15.00;31.00
337;2022;5.50;1.15;1;1;11.00;8.00;18.00;91.00;15.00;41.00;151.00;5.50;20.00;76.00;6.00;7.00;81.00;10.00;11.00;26.00
338;2022;5.50;1.18;0;1;13.00;7.50;15.00;76.00;17.00;36.00;126.00;6.50;17.00;56.00;7.00;7.00;51.00;10.00;11.00;20.00
339;2022;2.60;1.50;1;0;7.50;6.00;15.00;81.00;8.50;17.00;46.00;6.00;11.00;31.00;9.50;8.50;46.00;21.00;19.00;31.00
340;2022;5.50;1.12;1;2;12.00;8.00;18.00;101.00;18.00;41.00;126.00;5.50;21.00;71.00;6.00;7.00;71.00;9.50;11.00;23.00
341;2022;4.80;1.20;2;1;8.00;7.00;21.00;126.00;13.00;36.00;126.00;5.00;19.00;81.00;6.50;7.50;91.00;11.00;14.00;34.00
342;2022;5.50;1.15;0;0;8.50;7.50;20.00;126.00;14.00;36.00;151.00;5.00;20.00;81.00;6.00;7.50;91.00;11.00;13.00;31.00
343;2022;3.60;1.30;1;0;7.50;6.50;17.00;101.00;10.00;23.00;81.00;5.50;15.00;51.00;7.50;7.50;61.00;15.00;15.00;31.00
344;2022;2.10;1.68;3;2;7.00;5.50;15.00;91.00;7.50;14.00;36.00;6.50;10.00;26.00;11.00;9.50;41.00;26.00;23.00;36.00
345;2022;3.30;1.40;1;1;8.00;6.00;15.00;81.00;10.00;21.00;71.00;5.50;14.00;46.00;8.00;7.50;51.00;15.00;15.00;31.00
